group	variable	value
5/28/17	AU	0.43
5/28/17	BE	0.23
5/28/17	BO	0.35
5/28/17	BR	0.44
5/28/17	CA	0.31
5/28/17	CH	0.27
5/28/17	CL	0.38
5/28/17	CO	0.47
5/28/17	CR	0.48
5/28/17	CZ	0.3
5/28/17	DE	0.23
5/28/17	DK	0.34
5/28/17	DO	0.41
5/28/17	EC	0.49
5/28/17	ES	0.36
5/28/17	FI	0.17
5/28/17	FR	0.26
5/28/17	GB	0.34
5/28/17	GLOBAL	0.37
5/28/17	GR	0.06
5/28/17	GT	0.39
5/28/17	HK	0.45
5/28/17	HN	0.37
5/28/17	HU	0.27
5/28/17	ID	0.39
5/28/17	IE	0.33
5/28/17	IS	0.15
5/28/17	IT	0.31
5/28/17	JP	0.2
5/28/17	MX	0.49
5/28/17	MY	0.41
5/28/17	NL	0.23
5/28/17	NO	0.3
5/28/17	NZ	0.41
5/28/17	PA	0.39
5/28/17	PE	0.46
5/28/17	PH	0.51
5/28/17	PL	0.35
5/28/17	PT	0.37
5/28/17	PY	0.36
5/28/17	SE	0.3
5/28/17	SG	0.46
